Loại cây trồng,Nhiệt độ (°C),Lượng mưa (mm),Độ ẩm (%),Loại đất,Lượng phân bón (kg/ha),Kỹ thuật canh tác,Năng suất dự báo (tấn/ha)
Cà phê,22.36,79.22,79.83,Thịt,89.26,Truyền thống,16.81
Sắn,24.63,284.96,64.08,Cát,87.05,Truyền thống,19.05
Đậu tương,36.28,206.93,45.87,Cát,185.94,Truyền thống,27.52
Cà phê,22.92,133.73,46.26,Cát,87.43,Truyền thống,15.32
Khoai,19.24,84.82,74.28,Cát,90.79,Công nghệ cao,15.85
Hồ tiêu,28.92,248.51,61.52,Sét,163.91,Truyền thống,26.89
Đậu tương,38.4,205.02,50.03,Sét,117.46,Truyền thống,21.76
Đậu tương,32.4,183.37,64.58,Cát,166.51,Truyền thống,25.84
Cà phê,29.25,273.47,43.21,Cát,59.8,Công nghệ cao,16.05
Ngô,17.43,247.15,69.1,Cát,123.14,Truyền thống,22.28
Khoai,30.38,87.92,53.45,Sét,55.04,Truyền thống,11.97
Cà phê,39.75,127.93,79.88,Cát,59.4,Công nghệ cao,15.93
Khoai,18.5,112.12,55.52,Cát,185.97,Công nghệ cao,24.63
Khoai,27.96,235.99,62.76,Phù sa,70.89,Truyền thống,17.18
Hồ tiêu,36.93,58.38,40.58,Phù sa,129.86,Truyền thống,20.23
Đậu tương,33.52,192.47,43.62,Cát,111.66,Truyền thống,20
Sắn,32.43,240.61,59.62,Thịt,102.1,Truyền thống,20.34
Hồ tiêu,32.56,269.19,64,Cát,184.98,Truyền thống,29.25
Hồ tiêu,23.99,135.52,70,Phù sa,53.27,Công nghệ cao,13.25
Khoai,22.34,255.31,54.58,Thịt,149.57,Công nghệ cao,25.5
Mía,35.23,77.66,74.75,Thịt,194.51,Truyền thống,25.9
Đậu tương,35.25,261.61,83.01,Cát,134.03,Truyền thống,25.65
Ngô,36.68,81.87,78.99,Phù sa,190.52,Công nghệ cao,26.18
Hồ tiêu,37.83,149.32,41.98,Phù sa,57.84,Truyền thống,13.79
Sắn,27.78,249.32,64.03,Thịt,112.82,Truyền thống,21.36
Mía,27.54,87.48,45.25,Cát,89.02,Truyền thống,15.68
Mía,34.96,107.31,52.1,Sét,159.62,Truyền thống,22.62
Ngô,31.25,230.56,89.33,Sét,197.19,Truyền thống,30.8
Hồ tiêu,32.55,230.01,47.12,Phù sa,88.48,Công nghệ cao,19.5
Sắn,34.89,210.29,64.94,Sét,148.13,Truyền thống,24.03
Đậu tương,37.25,223.49,70.91,Phù sa,79.71,Truyền thống,18.53
Lúa,23.45,185.68,75.12,Phù sa,134.8,Truyền thống,22.29
Sắn,24.39,112.95,67.98,Phù sa,119.59,Công nghệ cao,19.69
Ngô,17.35,136.42,40.49,Sét,195.8,Công nghệ cao,26.4
Mía,29.46,95.4,56.32,Phù sa,141.28,Công nghệ cao,20.88
Đậu tương,15.9,277.11,65.89,Thịt,102.43,Công nghệ cao,20.8
Sắn,26.64,195.85,44.39,Cát,67.11,Truyền thống,16.19
Lúa,28.57,150.21,57.53,Cát,72.69,Công nghệ cao,15.33
Lúa,22.16,165.5,41.66,Phù sa,83.8,Truyền thống,16.41
Khoai,29.77,286.82,43.93,Cát,87.64,Truyền thống,18.66
Khoai,15.76,88.34,59.85,Sét,177.59,Công nghệ cao,23.63
Cà phê,15.93,196.56,46.64,Sét,134.18,Công nghệ cao,21.78
Ngô,35.57,176.47,68.38,Cát,128.51,Công nghệ cao,22.95
Hồ tiêu,24,202.86,74.47,Sét,67.22,Công nghệ cao,16.39
Sắn,18.18,54.53,80.03,Cát,179.02,Công nghệ cao,24.15
Sắn,28.06,268.03,50.01,Cát,158.42,Truyền thống,26.11
Hồ tiêu,34.25,283.03,48.37,Cát,60.15,Công nghệ cao,16.21
Cà phê,20.4,191.28,45.23,Phù sa,156.18,Công nghệ cao,24.12
Mía,30.57,224.16,71.82,Cát,131.53,Công nghệ cao,23.76
Mía,17.13,280.62,75.32,Phù sa,62.26,Truyền thống,16.73
Cà phê,16.29,226.81,41.58,Cát,118.75,Công nghệ cao,20.24
Mía,28.28,88.13,86.81,Cát,122.7,Truyền thống,20.18
Khoai,28.52,194.07,42.6,Cát,74.87,Công nghệ cao,15.85
Sắn,30.94,201.68,67.06,Sét,191.85,Công nghệ cao,28.74
Cà phê,33.15,156.03,75.45,Phù sa,177.5,Truyền thống,27.84
Sắn,39.4,234.11,83.55,Phù sa,150.35,Công nghệ cao,26.07
Hồ tiêu,27.91,283.59,75.7,Cát,119.34,Truyền thống,23.09
Lúa,23.07,281.39,80.09,Cát,111.76,Truyền thống,22.04
Khoai,34.88,162.71,56.97,Sét,147.65,Truyền thống,23.84
Đậu tương,21.77,78.31,80.74,Sét,131.81,Công nghệ cao,20.17
Khoai,25.97,296.21,44.01,Sét,59.34,Công nghệ cao,16.15
Cà phê,16.96,259.72,84.74,Phù sa,126.88,Công nghệ cao,23.93
Đậu tương,15.63,81.17,67.38,Phù sa,170.96,Truyền thống,24.23
Lúa,39.07,280.21,80.86,Phù sa,118.89,Công nghệ cao,23.57
Cà phê,35.9,267.47,62.62,Cát,57.79,Truyền thống,15.87
Ngô,32.4,179.71,72.18,Phù sa,167.94,Công nghệ cao,26.68
Sắn,25.22,197.82,66.32,Thịt,80.2,Truyền thống,16.88
Lúa,19.33,149.75,76.58,Thịt,88.79,Truyền thống,17.53
Sắn,18.91,63.69,44.08,Sét,74.71,Truyền thống,12.03
Mía,21.26,133.8,43.02,Phù sa,99.53,Công nghệ cao,17.43
Ngô,28.73,250.71,52.36,Thịt,163.51,Truyền thống,25.77
Ngô,32.86,51.16,47.98,Sét,127.91,Truyền thống,19.26
Lúa,31.5,133.37,83.59,Phù sa,80.73,Truyền thống,16.83
Ngô,22,149.54,50.96,Cát,181.67,Truyền thống,25.31
Đậu tương,38.87,184.35,88.79,Thịt,181.94,Truyền thống,28.28
Ngô,33.45,279.96,56.84,Cát,180.59,Truyền thống,29.38
Sắn,28.86,136.59,49.11,Phù sa,85.82,Công nghệ cao,16.28
Sắn,30.29,136.74,79.48,Thịt,117.69,Công nghệ cao,20.69
Cà phê,25.49,234.38,72.94,Phù sa,197.75,Truyền thống,30.91
Sắn,21.19,163.05,64.91,Cát,165.8,Công nghệ cao,24.07
Cà phê,23.9,106.15,67.77,Thịt,54.08,Công nghệ cao,13.57
Sắn,33.95,163.11,75.96,Cát,59.78,Truyền thống,15.27
Đậu tương,15.36,85.21,51.42,Phù sa,119.59,Truyền thống,17.52
Hồ tiêu,17.9,94.1,89.82,Phù sa,186.38,Truyền thống,25.44
Cà phê,16.15,174.59,88.74,Cát,130.81,Công nghệ cao,21.95
Khoai,16.02,154.73,72.52,Thịt,124.67,Truyền thống,21
Mía,36.39,278.71,49.98,Cát,65.82,Công nghệ cao,17.41
Lúa,32.59,140.6,74.01,Phù sa,148.52,Truyền thống,24.27
Sắn,26.85,195.15,43.61,Cát,173.32,Công nghệ cao,25.16
Ngô,17.45,208.07,41.53,Phù sa,107.06,Truyền thống,18.98
Hồ tiêu,27.29,53.27,52.88,Cát,166.34,Truyền thống,22.02
Sắn,26.84,215.88,63.13,Thịt,194.67,Công nghệ cao,29.2
Ngô,19.33,94.51,83.41,Thịt,80.56,Công nghệ cao,15.86
Mía,25.85,290.27,76.36,Cát,128.5,Công nghệ cao,24.03
Mía,24.96,87.17,77.14,Cát,93.07,Công nghệ cao,15.31
Mía,30.4,153.66,61.27,Thịt,168.93,Công nghệ cao,25.42
Ngô,30.88,71.34,57.3,Phù sa,136.64,Công nghệ cao,20.57
Sắn,16.13,299.22,58.55,Thịt,145.19,Truyền thống,25.27
Mía,24.37,175.55,89.38,Phù sa,169.69,Công nghệ cao,27
Đậu tương,30.65,198.85,42.01,Cát,109.4,Truyền thống,19.17
Cà phê,27.58,66.77,83.35,Cát,187.26,Truyền thống,26.28
Ngô,36.41,237.49,68.93,Phù sa,129.95,Công nghệ cao,24.23
Ngô,31.47,102.48,61.93,Cát,73.69,Truyền thống,13.96
Sắn,19.07,274.51,76.26,Phù sa,154.38,Công nghệ cao,26.33
Ngô,16.76,101.28,64.33,Sét,168.99,Công nghệ cao,23.44
Ngô,31.06,97.67,83.67,Thịt,97.51,Truyền thống,17.73
Mía,15.66,59.14,85.04,Sét,178.58,Truyền thống,24.55
Sắn,29.64,168.02,61.09,Phù sa,185.92,Công nghệ cao,27.02
Mía,38.51,191.21,53.84,Thịt,91.54,Công nghệ cao,18.18
Cà phê,29.39,66.43,69.62,Phù sa,197.53,Truyền thống,26.66
Hồ tiêu,24.7,243.88,85.62,Thịt,71.11,Truyền thống,17.25
Cà phê,31.08,163.32,50.53,Thịt,80.3,Truyền thống,15.82
Hồ tiêu,26.46,181.1,71.15,Thịt,77.63,Truyền thống,17.18
Mía,28.64,160.19,71.58,Thịt,184.1,Công nghệ cao,26.62
Cà phê,38.54,150.19,76.66,Phù sa,148.14,Công nghệ cao,24.38
Sắn,24.65,189.91,46.58,Thịt,72.82,Công nghệ cao,15.94
Lúa,39.03,88.81,75.79,Thịt,116.05,Công nghệ cao,18.74
Mía,37.63,95.48,85.45,Sét,142.29,Truyền thống,22.24
